Date,carry_pnl
2010-01-05,-0.3932285698854787
2010-01-06,0.2745041206429377
2010-01-07,-0.5890289327796117
2010-01-08,0.6576587561673286
2010-01-11,0.7221615924368929
2010-01-12,-0.22931997817975946
2010-01-13,0.33606529756393666
2010-01-14,-0.15560997867095638
2010-01-15,-0.744216792018354
2010-01-18,0.13890689700249426
2010-01-19,-0.8665822526615685
2010-01-20,-1.1925219093765926
2010-01-21,-0.08466523271450366
2010-01-22,0.32184917750574527
2010-01-25,0.0931339586404456
2010-01-26,-0.47013227282370895
2010-01-27,-0.3556499592196505
2010-01-28,-0.43954417217627606
2010-01-29,-0.7166737930671574
2010-02-01,0.4616316595609904
2010-02-02,0.3627827110433801
2010-02-03,-0.5296101839780076
2010-02-04,-1.1195123447339361
2010-02-05,-0.46326336640437615
2010-02-08,-0.15644548472104058
2010-02-09,0.9385339387817826
2010-02-10,-0.19946074262716107
2010-02-11,-0.5114526909674733
2010-02-12,-0.3330152196379388
2010-02-15,-0.20481073205582678
2010-02-16,1.2085930251282573
2010-02-17,-1.1604084044550766
2010-02-18,-1.0647853509209215
2010-02-19,1.1442945607225918
2010-02-22,-0.03997996555303862
2010-02-23,-0.5694663744681416
2010-02-24,0.12892148447156138
2010-02-25,-0.042999433735280146
2010-02-26,0.7093582236861906
2010-03-01,-0.47587920577724097
2010-03-02,0.4412688887193039
2010-03-03,0.6033044461186854
2010-03-04,-0.8517944390637966
2010-03-05,0.34106041311253166
2010-03-08,-0.05728961222678519
2010-03-09,-0.06308239315148123
2010-03-10,0.27748275156818103
2010-03-11,0.31785973172440696
2010-03-12,0.6267886741952389
2010-03-15,-0.6425648320138977
2010-03-16,0.6759932001491831
2010-03-17,-0.21101677698105448
2010-03-18,-0.8990210486217676
2010-03-19,-0.5570331557390729
2010-03-22,0.25351763647003533
2010-03-23,-0.7222271334920927
2010-03-24,-1.011942163264823
2010-03-25,-0.16938127355214938
2010-03-26,0.7812015664580008
2010-03-29,0.5596767147455717
2010-03-30,-0.41334260560078606
2010-03-31,0.6339010806445278
2010-04-01,0.5718786296467326
2010-04-02,-0.5726814879067343
2010-04-05,-0.0841905746330196
2010-04-06,-0.6369927814896759
2010-04-07,-0.3888456988973721
2010-04-08,0.10589237095465776
2010-04-09,1.0519711499711815
2010-04-12,0.735032828219806
2010-04-13,0.10357117283509298
2010-04-14,0.35870254389642753
2010-04-15,-0.590705846763212
2010-04-16,-0.506104044844019
2010-04-19,-0.09093333670103787
2010-04-20,-0.37659450532021577
2010-04-21,-0.3255801095331967
2010-04-22,-0.8886803128282772
2010-04-23,0.8666570007212548
2010-04-26,0.16180223054269027
2010-04-27,-1.723982648795036
2010-04-28,0.3303144336257058
2010-04-29,0.38968113762909984
2010-04-30,0.2753562330073567
2010-05-03,-0.7053655888180521
2010-05-04,-1.7921614745666836
2010-05-05,-1.1444076372709777
2010-05-06,-1.418384506224668
2010-05-07,0.9815964516732917
2010-05-10,0.21654292216123638
2010-05-11,-1.1633982558107188
2010-05-12,0.08375510404942943
2010-05-13,-0.766306695553029
2010-05-14,-1.4424259609139567
