Date,AAPL,SPY,TSLA,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-02,72.27154541015625,296.1252746582031,28.68400001525879,26.66554832458496,50.91963577270508,23.188852310180664,27.546480178833008,74.96610260009766,44.241432189941406,52.62480545043945,30.74523162841797,26.0982666015625,91.9007797241211,60.035552978515625
2020-01-03,71.56891632080078,293.8829040527344,29.534000396728516,26.235031127929688,50.591190338134766,23.119951248168945,27.25399398803711,74.82162475585938,43.744022369384766,52.54056167602539,30.970460891723633,26.15143585205078,91.09992980957031,59.524658203125
2020-01-06,72.1391830444336,295.004150390625,30.1026668548584,26.120811462402344,51.26685333251953,23.299861907958984,27.236270904541016,74.84870147705078,43.848228454589844,52.65005874633789,30.97850227355957,26.175979614257812,91.66683197021484,59.69023132324219
2020-01-07,71.79991912841797,294.17462158203125,31.270666122436523,26.090063095092773,51.33255386352539,23.238611221313477,27.059005737304688,74.69515991210938,43.82929229736328,52.24576950073242,30.640644073486328,26.139169692993164,91.48684692382812,59.595619201660156
2020-01-08,72.95491027832031,295.74237060546875,32.80933380126953,26.18231773376465,51.69854736328125,22.855836868286133,27.236270904541016,74.94804382324219,44.298274993896484,52.43948745727539,30.79347801208496,26.126901626586914,92.08075714111328,59.77537155151367
2020-01-09,74.50453186035156,297.7477722167969,32.089332580566406,26.278966903686523,51.9706916809082,23.024253845214844,27.404666900634766,75.26412200927734,44.80043029785156,52.810089111328125,30.785442352294922,26.27005386352539,92.4766845703125,60.092323303222656
2020-01-10,74.67296600341797,296.8910217285156,31.876667022705078,26.173534393310547,51.76422882080078,22.89411163330078,27.200817108154297,74.73130798339844,44.69620132446289,52.776397705078125,31.08308219909668,26.339576721191406,92.50369262695312,59.765907287597656
2020-01-13,76.268310546875,298.9327697753906,34.990665435791016,26.511789321899414,52.252227783203125,22.901765823364258,27.386932373046875,75.34539031982422,45.255210876464844,53.12173843383789,31.461166381835938,26.49909019470215,92.17973327636719,59.955135345458984
2020-01-14,75.23841857910156,298.4770202636719,35.861331939697266,26.40196990966797,52.120849609375,22.905595779418945,27.333765029907227,75.35443115234375,45.04202651977539,53.138572692871094,31.308317184448242,26.576801300048828,92.73764038085938,59.93621826171875
2020-01-15,74.916015625,299.15155029296875,34.56666564941406,26.58208465576172,52.37420654296875,22.737173080444336,27.183090209960938,75.47184753417969,45.094146728515625,53.51758575439453,31.525510787963867,26.94899559020996,93.53849792480469,59.79903030395508
2020-01-16,75.85443115234375,301.6400146484375,34.232666015625,26.7402286529541,52.77775192260742,22.77544593811035,27.422395706176758,76.22140502929688,45.70051193237305,53.6607780456543,31.807065963745117,27.116680145263672,94.02442932128906,60.33357238769531
2020-01-17,76.6942138671875,302.578857421875,34.03333282470703,26.858837127685547,53.19065475463867,22.629995346069336,27.502166748046875,76.23043060302734,46.008426666259766,53.753421783447266,31.847280502319336,27.304824829101562,94.02442932128906,60.54645919799805
2020-01-21,76.17446899414062,301.98638916015625,36.47999954223633,26.56890106201172,53.143733978271484,22.224246978759766,27.2717227935791,75.39057159423828,45.9894905090332,53.93873977661133,32.1690559387207,27.55430793762207,94.12339782714844,60.36196517944336
2020-01-22,76.4463882446289,302.02276611328125,37.97066879272461,26.463470458984375,53.11558151245117,22.009891510009766,27.351490020751953,74.99320220947266,46.15529251098633,53.980838775634766,31.91164207458496,27.640201568603516,94.2403793334961,60.33357238769531
2020-01-23,76.81451416015625,302.3692321777344,38.14666748046875,26.432714462280273,52.89974594116211,21.925676345825195,27.28058433532715,75.80596160888672,46.37320327758789,53.93030548095703,32.217323303222656,27.885601043701172,93.76346588134766,60.423465728759766
2020-01-24,76.5931625366211,299.6802673339844,37.654666900634766,26.243812561035156,52.26161193847656,21.673044204711914,26.93492317199707,75.45377349853516,46.15529251098633,53.55970001220703,32.1690559387207,27.959217071533203,92.19772338867188,59.581417083740234
2020-01-27,74.34089660644531,294.8764343261719,37.201332092285156,25.677122116088867,51.44516372680664,21.072078704833984,26.518360137939453,74.0268783569336,45.056243896484375,53.39125442504883,32.03230667114258,27.889690399169922,91.49585723876953,58.692081451416016
2020-01-28,76.44398498535156,297.96649169921875,37.793331146240234,25.967060089111328,52.0363883972168,21.167768478393555,26.828567504882812,74.50552368164062,45.91842269897461,53.45864486694336,32.11274337768555,28.004199981689453,91.9457778930664,59.26447296142578
2020-01-29,78.04412078857422,297.720458984375,38.732666015625,26.050527572631836,51.95191955566406,20.945758819580078,26.78424835205078,74.90288543701172,46.036861419677734,53.18910598754883,31.943815231323242,28.07782554626465,91.69383239746094,59.231361389160156
